###############################################################################
## t01C_WTD
###############################################################################
8.200000000000003 6.799999999999997 (1,2340)
8.099999999999994 6.8999999999999915 (1,2370)
8.099999999999994 7.099999999999994 (1,2400)
6.799999999999997 7.299999999999997 (1,2430)
6.799999999999997 6.900000000000006 (1,2460)
7.900000000000006 6.900000000000006 (1,2490)
7.900000000000006 6.900000000000006 (1,2520)
8.0 7.0 (1,2550)
8.0 7.299999999999997 (1,2580)
8.0 7.700000000000003 (1,2610)
7.689999999999998 7.700000000000003 (1,2640)
7.689999999999998 7.5 (1,2670)
7.599999999999994 7.299999999999997 (1,2700)
7.599999999999994 7.199999999999989 (1,2730)
7.299999999999997 7.0 (1,2760)
7.299999999999997 7.0 (1,2790)
7.700000000000003 6.6000000000000085 (1,2820)
7.700000000000003 6.8999999999999915 (1,2850)
7.3999999999999915 6.599999999999994 (1,2880)
7.3999999999999915 6.799999999999997 (1,2910)
7.900000000000006 7.099999999999994 (1,2940)
7.900000000000006 6.799999999999997 (1,2970)
7.599999999999994 7.0 (1,3000)
7.599999999999994 7.200000000000003 (1,3030)
7.8999999999999915 7.200000000000003 (1,3060)
7.8999999999999915 7.0 (1,3090)
7.3999999999999915 1.0 (1,3120)
7.3999999999999915 1.0 (1,3150)
###############################################################################
## t02C_WTD
###############################################################################
7.799999999999997 7.0 (2,0)
7.799999999999997 7.099999999999994 (2,30)
8.099999999999994 6.3999999999999915 (2,60)
7.800000000000011 7.599999999999994 (2,90)
7.599999999999994 7.0 (2,120)
7.599999999999994 6.900000000000006 (2,150)
7.599999999999994 6.900000000000006 (2,180)
7.799999999999997 7.400000000000006 (2,210)
7.799999999999997 7.400000000000006 (2,240)
7.599999999999994 7.299999999999997 (2,270)
7.400000000000006 7.599999999999994 (2,300)
7.3999999999999915 7.099999999999994 (2,330)
7.099999999999994 0.3999999999999915 (2,360)
7.099999999999994 0.3999999999999915 (2,390)
7.200000000000003 7.799999999999997 (2,420)
7.1000000000000085 7.799999999999997 (2,450)
7.599999999999994 0.4900000000000091 (2,480)
7.599999999999994 7.0 (2,510)
7.189999999999998 7.0 (2,540)
7.189999999999998 6.900000000000006 (2,570)
7.699999999999989 7.0 (2,600)
7.699999999999989 7.200000000000003 (2,630)
8.200000000000003 7.200000000000003 (2,660)
8.200000000000003 7.200000000000003 (2,690)
8.299999999999997 7.0 (2,720)
8.299999999999997 7.0 (2,750)
8.400000000000006 7.1000000000000085 (2,780)
8.400000000000006 7.299999999999997 (2,810)
7.909999999999997 7.199999999999989 (2,840)
7.909999999999997 6.799999999999997 (2,870)
7.799999999999997 7.0 (2,900)
7.799999999999997 7.0 (2,930)
7.700000000000003 7.0 (2,960)
7.409999999999997 7.1000000000000085 (2,990)
7.409999999999997 7.0 (2,1020)
8.699999999999989 6.799999999999997 (2,1050)
8.699999999999989 7.1000000000000085 (2,1080)
8.699999999999989 6.8999999999999915 (2,1110)
7.189999999999998 7.0 (2,1140)
7.599999999999994 6.799999999999997 (2,1170)
7.599999999999994 7.0 (2,1200)
7.5 7.0 (2,1230)
7.5 6.900000000000006 (2,1260)
5.799999999999997 6.700000000000003 (2,1290)
8.0 7.0 (2,1320)
8.0 7.0 (2,1350)
7.700000000000003 7.0 (2,1380)
7.700000000000003 7.0 (2,1410)
7.799999999999997 6.699999999999989 (2,1440)
7.799999999999997 6.799999999999997 (2,1470)
8.290000000000006 6.799999999999997 (2,1500)
8.290000000000006 0.18999999999999773 (2,1530)
8.400000000000006 7.0 (2,1560)
8.400000000000006 7.0 (2,1590)
7.799999999999997 7.1000000000000085 (2,1620)
7.799999999999997 7.0 (2,1650)
7.900000000000006 7.099999999999994 (2,1680)
7.900000000000006 7.099999999999994 (2,1710)
7.799999999999997 7.200000000000003 (2,1740)
7.799999999999997 7.299999999999997 (2,1770)
7.799999999999997 7.099999999999994 (2,1800)
7.799999999999997 7.200000000000003 (2,1830)
7.799999999999997 7.299999999999997 (2,1860)
7.799999999999997 7.200000000000003 (2,1890)
7.790000000000006 7.1000000000000085 (2,1920)
7.790000000000006 7.099999999999994 (2,1950)
7.8999999999999915 7.300000000000011 (2,1980)
7.8999999999999915 7.400000000000006 (2,2010)
7.5 7.5 (2,2040)
7.700000000000003 0.10000000000000853 (2,2070)
7.700000000000003 0.10000000000000853 (2,2100)
9.099999999999994 7.6000000000000085 (2,2130)
9.099999999999994 7.200000000000003 (2,2160)
8.200000000000003 7.3999999999999915 (2,2190)
8.200000000000003 7.3999999999999915 (2,2220)
7.900000000000006 7.299999999999997 (2,2250)
7.900000000000006 7.199999999999989 (2,2280)
