###############################################################################
## t01KW
###############################################################################
158.96 201.88 (3,1560)
158.96 205.06 (3,1590)
158.96 208.24 (3,1620)
158.96 210.62 (3,1650)
158.96 205.85 (3,1680)
158.96 207.44 (3,1710)
158.96 216.19 (3,1740)
158.96 205.06 (3,1770)
158.96 211.42 (3,1800)
158.96 215.39 (3,1830)
158.96 209.83 (3,1860)
158.96 212.21 (3,1890)
158.96 209.83 (3,1920)
158.96 208.24 (3,1950)
158.96 208.24 (3,1980)
158.96 201.88 (3,2010)
158.96 201.88 (3,2040)
158.96 194.73 (3,2070)
158.96 196.32 (3,2100)
158.96 189.96 (3,2130)
158.96 199.5 (3,2160)
158.96 199.5 (3,2190)
158.96 198.7 (3,2220)
156.48 198.7 (3,2250)
156.48 197.91 (3,2280)
156.48 199.5 (3,2310)
156.48 203.47 (3,2340)
156.48 202.67 (3,2370)
156.48 192.34 (3,2400)
156.48 195.52 (3,2430)
156.48 201.88 (3,2460)
156.48 201.88 (3,2490)
153.99 203.47 (3,2520)
153.99 203.47 (3,2550)
153.99 198.7 (3,2580)
153.99 198.7 (3,2610)
153.99 197.91 (3,2640)
153.99 189.96 (3,2670)
153.99 190.75 (3,2700)
153.99 198.7 (3,2730)
153.99 190.75 (3,2760)
156.48 201.09 (3,2790)
156.48 211.42 (3,2820)
156.48 213.01 (3,2850)
156.48 213.8 (3,2880)
156.48 208.24 (3,2910)
156.48 203.47 (3,2940)
156.48 208.24 (3,2970)
156.48 208.24 (3,3000)
156.48 201.88 (3,3030)
156.48 201.88 (3,3060)
156.48 195.52 (3,3090)
156.48 188.37 (3,3120)
156.48 190.75 (3,3150)
