saved,value,chk,units,metric,label,combined,start_time,end_time,result_id,datacenter|chiller
1,69,,,Chiller Loads,,0,2011-05-05 13:39:14.730,,236360,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:47:44.757,,237839,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 13:49:44.730,,238179,EMSL|Chiller4
1,63,,,Chiller Loads,,0,2011-05-05 13:39:14.730,,236343,EMSL|Chiller1
1,64,,,Chiller Loads,,0,2011-05-05 13:52:44.730,,238638,EMSL|Chiller1
1,68,,,Chiller Loads,,0,2011-05-05 13:53:14.737,,238740,EMSL|Chiller2
1,66,,,Chiller Loads,,0,2011-05-05 13:56:14.730,,239250,EMSL|Chiller2
1,63,,,Chiller Loads,,0,2011-05-05 13:54:14.737,,238893,EMSL|Chiller1
1,69,,,Chiller Loads,,0,2011-05-05 13:52:14.737,,238570,EMSL|Chiller2
1,68,,,Chiller Loads,,0,2011-05-05 13:50:14.727,,238264,EMSL|Chiller4
1,69,,,Chiller Loads,,0,2011-05-05 13:40:44.740,,236615,EMSL|Chiller2
