saved	value	chk	units	metric	label	combined	start_time	end_time	result_id	datacenter|chiller
1	69.2			Chiller ECWT 		0	2011-05-05 13:50:44.733		238308	EMSL|Chiller2
1	69.2			Chiller ECWT 		0	2011-05-05 13:49:44.730		238121	EMSL|Chiller1
1	69.2			Chiller ECWT 		0	2011-05-05 14:03:14.717		240433	EMSL|Chiller2
1	69.3			Chiller ECWT 		0	2011-05-05 13:49:44.730		238138	EMSL|Chiller2
1	69.2			Chiller ECWT 		0	2011-05-05 14:01:14.793		240093	EMSL|Chiller2
1	69.5			Chiller ECWT 		0	2011-05-05 13:52:14.737		238546	EMSL|Chiller1
1	69.2			Chiller ECWT 		0	2011-05-05 13:52:14.737		238563	EMSL|Chiller2
1	69.5			Chiller ECWT 		0	2011-05-05 13:58:14.740		239566	EMSL|Chiller1
1	68.8			Chiller ECWT 		0	2011-05-05 13:55:14.737		239056	EMSL|Chiller1
1	70			Chiller ECWT 		0	2011-05-05 13:45:14.730		237407	EMSL|Chiller4
1	69.2			Chiller ECWT 		0	2011-05-05 13:57:14.737		239396	EMSL|Chiller1
1	69.9			Chiller ECWT 		0	2011-05-05 13:46:44.740		237611	EMSL|Chiller1
1	69.59			Chiller ECWT 		0	2011-05-05 13:56:14.730		239243	EMSL|Chiller2
1	69.3			Chiller ECWT 		0	2011-05-05 13:46:14.740		237543	EMSL|Chiller2
1	68.8			Chiller ECWT 		0	2011-05-05 13:41:14.723		236693	EMSL|Chiller2
1	69.2			Chiller ECWT 		0	2011-05-05 13:50:14.727		238206	EMSL|Chiller1
1	69.2			Chiller ECWT 		0	2011-05-05 14:02:14.747		240263	EMSL|Chiller2
1	69.5			Chiller ECWT 		0	2011-05-05 13:58:44.737		239668	EMSL|Chiller2
1	69.8			Chiller ECWT 		0	2011-05-05 13:54:14.737		238937	EMSL|Chiller4
1	69.8			Chiller ECWT 		0	2011-05-05 13:49:14.710		238087	EMSL|Chiller4
1	69.3			Chiller ECWT 		0	2011-05-05 13:48:14.733		237883	EMSL|Chiller2
1	69.6			Chiller ECWT 		0	2011-05-05 14:00:14.733		239957	EMSL|Chiller4
1	69.3			Chiller ECWT 		0	2011-05-05 13:45:14.730		237356	EMSL|Chiller1
1	68.8			Chiller ECWT 		0	2011-05-05 13:39:14.730		236387	EMSL|Chiller4
1	69.9			Chiller ECWT 		0	2011-05-05 13:51:44.730		238512	EMSL|Chiller4
1	70.9			Chiller ECWT 		0	2011-05-05 13:52:44.730		238631	EMSL|Chiller1
1	69			Chiller ECWT 		0	2011-05-05 13:41:14.723		236676	EMSL|Chiller1
1	69.6			Chiller ECWT 		0	2011-05-05 13:41:44.733		236812	EMSL|Chiller4
1	69.6			Chiller ECWT 		0	2011-05-05 14:00:44.747		240042	EMSL|Chiller4
1	69.2			Chiller ECWT 		0	2011-05-05 14:04:14.727		240603	EMSL|Chiller2
1	69.8			Chiller ECWT 		0	2011-05-05 14:05:14.733		240807	EMSL|Chiller4
1	69.3			Chiller ECWT 		0	2011-05-05 14:00:44.747		240008	EMSL|Chiller2
1	68.7			Chiller ECWT 		0	2011-05-05 13:39:44.740		236472	EMSL|Chiller4
1	70.9			Chiller ECWT 		0	2011-05-05 13:53:14.737		238716	EMSL|Chiller1
1	69.3			Chiller ECWT 		0	2011-05-05 13:38:14.727		236183	EMSL|Chiller2
1	70			Chiller ECWT 		0	2011-05-05 13:55:14.737		239107	EMSL|Chiller4
1	69.2			Chiller ECWT 		0	2011-05-05 14:03:14.717		240416	EMSL|Chiller1
1	69.2			Chiller ECWT 		0	2011-05-05 13:43:44.727		237101	EMSL|Chiller1
1	69.3			Chiller ECWT 		0	2011-05-05 13:53:44.737		238818	EMSL|Chiller2
1	69.59			Chiller ECWT 		0	2011-05-05 13:44:14.733		237203	EMSL|Chiller2
1	69.9			Chiller ECWT 		0	2011-05-05 13:42:44.730		236982	EMSL|Chiller4
1	69.3			Chiller ECWT 		0	2011-05-05 13:52:44.730		238648	EMSL|Chiller2
